Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,B365>2.5
D1,31/08/2024,14:30,Holstein Kiel,Wolfsburg,0,2,1.73
D1,31/08/2024,14:30,Stuttgart,Mainz,3,3,1.62
D1,31/08/2024,14:30,Werder Bremen,Dortmund,0,0,1.44
D1,31/08/2024,17:30,Leverkusen,RB Leipzig,2,3,1.5
SP2,31/08/2024,18:00,Cadiz,Tenerife,2,2,2.5
SP2,31/08/2024,20:30,Almeria,Sp Gijon,1,1,2.08
SP2,31/08/2024,20:30,Malaga,Albacete,2,1,2.35
F2,31/08/2024,13:30,Amiens,Lorient,1,0,2.15
F2,31/08/2024,13:30,Metz,Laval,1,1,2.1
F1,31/08/2024,16:00,Brest,St Etienne,4,0,2.07
F1,31/08/2024,18:00,Montpellier,Nantes,1,3,2.04
F1,31/08/2024,20:00,Toulouse,Marseille,1,3,1.8
E1,30/08/2024,20:00,Luton,QPR,1,2,1.75
I1,30/08/2024,17:30,Venezia,Torino,0,1,2.15
I1,30/08/2024,19:45,Inter,Atalanta,4,0,1.62
D2,30/08/2024,17:30,Fortuna Dusseldorf,Hannover,1,0,1.8
D2,30/08/2024,17:30,Regensburg,Greuther Furth,0,4,1.75
D1,30/08/2024,19:30,Union Berlin,St Pauli,1,0,2.03
SP2,30/08/2024,18:00,Granada,Huesca,1,3,2.25
SP2,30/08/2024,20:30,Oviedo,Santander,1,3,2.05
F2,30/08/2024,19:00,Ajaccio,Troyes,2,1,2.7
F2,30/08/2024,19:00,Caen,Annecy,1,1,2.1
F2,30/08/2024,19:00,Clermont,Paris FC,0,1,2.05
F2,30/08/2024,19:00,Dunkerque,Rodez,1,0,2
F2,30/08/2024,19:00,Grenoble,Pau FC,1,1,1.93
F2,30/08/2024,19:00,Guingamp,Red Star,3,4,2.25
F2,30/08/2024,19:00,Martigues,Bastia,0,1,2.35
F1,30/08/2024,19:45,Lyon,Strasbourg,4,3,1.73
